site,Genus_species,Family,growthform,height,Country,Site,lat,long,hemisphere,altitude,temperature,rain.wettestmonth
109,Andropogon_greenwayi,Poaceae,Herb,0.3,Tanzania,"Serengeti, Naabi hill",3.217,35.483,-1,1550,13.7,192
12,Dicksonia_antarctica,Dicksoniaceae,Shrub,3,Australia,"Mt Field, Tasmania",42.679,146.669,-1,704,7.9,117
101,Cupaniopsis_anacardioides,Sapindaceae,Tree,8,Australia,Darwin - East point,12.406,130.82,-1,11,27.5,428
41,Banksia_tricuspis,Proteaceae,Shrub,2.9,Australia,NA,30.167,115.233,-1,274,18.1,132
16,Eucalyptus_sp5,Myrtaceae,Tree,13,Australia,Bunyip - Melbourne,38.01,145.62,-1,164,13.6,107
176,Bouteloua_gracilis,Poaceae,Herb,0.2,USA,Colorado,40.817,-107.783,1,2177,4.3,37
174,Ratibida_columnifera,Asteraceae,Herb,1,USA,Kansas,39.083,-96.583,1,407,12,137
112,Elateriospermum_tapos,Euphorbiaceae,Tree,39.6,Malaysia,NA,2.983,102.3,1,116,26.5,254
205,Rubus_chamaemorus,Rosaceae,Shrub,0.158,Finland,NA,60,27,1,75,4.5,78
58,Paraneurachne_muelleri,Poaceae,Herb,0.5,Australia,Kunoth Paddock - Alice Springs,23.533,133.748,-1,713,20.4,41
57,Acacia_aneura,Fabaceae - M,Shrub/Tree,9,Australia,Kunoth Paddock - Alice Springs,23.533,133.748,-1,713,20.4,41
179,Impatiens_capensis,Balsaminaceae,Herb,3,Rhode Island,USA,41.667,-71.25,1,44,10.1,117
208,Salix_lapponum,Salicaceae,Shrub,1.05,Norway,NA,61.6,7.5,1,1520,-2.1,159
7,Festuca_novae-zealandiae,Poaceae,Herb,0.5,New Zealand,NA,43.033,171.75,-1,587,9.1,247
135,Ardisia_tenera,Myrsinaceae,Tree,11,China,NA,21.96,101.2,1,749,21,275
199,Fagus_sylvatica,Fagaceae,Tree,39,Germany,Barvaria,49.867,10.45,1,415,8,80
150,Larrea_tridentata,Zygophyllaceae,Shrub,1.94,NA,NA,34.55,-116.883,1,920,16.6,34
204,Gentiana_campestris,Gentianaceae,Herb,12.4,Sweden,Sodermanland,59.333,16.85,1,33,6.2,70
6,Chionochloa_pallens,Poaceae,Herb,1.5,New Zealand,Canterbury,43.533,171.55,-1,1070,7.8,120
177,Euphorbia_characias,Euphorbiaceae,NA,1,Spain,NA,41.417,2.1,1,314,15.3,85
110,Heliconia_acuminata,Heliconiaceae,Herb,0.75,Brazil,NA,2.5,-60,-1,111,27,299
170,Juniperus_virginiana,Cupressaceae,Shrub,4,USA,NA,38.75,-96.583,1,407,12.1,133
76,Elaeocarpus_pyriformis,Elaeocarpaceae,Tree,15,Fiji,abngau,17.472,178.847,-1,41,25,379
91,Alloteropsis_semialata,Poaceae,Herb,0.55,Australia,Cape York,14.967,143.583,-1,85,26,290
68,Tapeinosperma_grande,Myrsinaceae,Shrub/Tree,6,Fiji,abkngau,17.846,178.706,-1,8,24.9,394
32,Opuntia_aurantiaca,Cactaceae,Shrub,0.5,NA,NA,33.2,26.367,-1,614,16.7,73
210,Sorbus_aucuparia,Rosaceae,Tree,15,Sweeden,Umea,63.817,20.267,1,21,2.7,70
197,Gentiana_cruciata,Gentianaceae,Herb,0.246,Switzerland,NA,46.5,7,1,1608,3.5,155
